"","SRR6898209","SRR6898210","SRR8094748","SRR8094749","SRR8094750","SRR8094751","SRR6898193","SRR6898194","SRR6898195","SRR6898211"
"ZCCHC13",0,0,0,0,0,0,0,0,0,0
"SLC16A2",1870,1438,1895,1611,1565,1462,2496,4105,3133,2775
"RLIM",1953,1922,326,304,214,247,403,674,362,560
"KIAA2022",4,0,0,6,4,0,0,0,0,0
"ABCB7",800,1109,196,253,280,509,402,681,437,612
"UPRT",280,276,130,126,149,104,152,177,128,125
"ZDHHC15",0,0,4,6,2,0,2,4,0,0
"MAGEE2",0,0,0,0,0,0,0,0,0,2
"RP11-212D3.4",0,0,0,0,0,0,0,0,0,0
"PBDC1",1079,816,307,275,340,326,337,303,262,308
"MAGEE1",20,20,16,16,6,4,10,12,2,6
"FGF16",0,0,0,0,0,0,0,0,0,0
"ATRX",3579,4210,317,231,265,400,901,1468,888,1261
"MAGT1",4449,4455,1283,1532,1409,1723,5257,2774,2060,3564
"COX7B",1622,1492,1317,1946,1722,1579,2019,1182,1424,1627
"ATP7A",478,350,60,46,43,49,89,151,61,189
"PGAM4",12,8,4,8,8,22,12,8,2,6
"PGK1",12546,10234,3183,3519,3437,4034,5320,3651,2743,3534
"TAF9B",497,543,152,130,85,158,225,196,127,340
"CYSLTR1",2,0,24,22,18,2,58,10,0,12
"ZCCHC5",0,0,0,0,0,0,0,0,0,0
"LPAR4",0,0,0,0,0,0,0,0,0,0
"P2RY10",0,0,8,6,7,2,0,22,0,6
"GPR174",2,0,2,4,6,0,0,2,0,0
"ITM2A",2,2,114,118,82,4,58,160,0,14
"TBX22",4,0,0,0,0,0,0,0,0,0
"FAM46D",0,0,0,0,0,0,0,0,0,0
"BRWD3",1631,1985,154,82,115,170,282,420,171,285
"HMGN5",255,337,198,356,224,210,154,190,339,247
"SH3BGRL",1706,1500,712,634,500,125,417,406,256,62
"RP3-326L13.2",0,0,0,0,0,0,0,0,0,0
"POU3F4",0,0,0,0,0,0,0,0,0,0
"RP3-326L13.3",0,0,0,0,0,0,0,0,0,0
"CYLC1",0,0,0,0,0,0,0,0,0,0
"RPS6KA6",4,26,12,2,0,0,4,11,2,17
"HDX",141,77,18,18,16,22,35,21,14,7
"APOOL",193,302,30,39,36,92,78,178,86,261
"SATL1",107,139,75,55,61,72,117,133,96,146
"RP5-928E24.2",0,0,0,0,0,0,0,0,0,0
"ZNF711",476,853,28,8,2,0,42,44,16,16
"POF1B",20,52,28,4,2,0,22,14,16,14
"CHM",1140,1215,138,144,164,170,212,350,206,384
"DACH2",0,0,0,0,0,0,0,0,0,0
"KLHL4",153,30,12,0,22,0,10,40,6,4
"CPXCR1",0,0,0,0,0,0,0,0,0,0
"RP13-348B13.2",0,0,0,0,0,0,0,0,0,2
"TGIF2LX",0,0,0,0,0,0,0,0,0,0
"RP13-212L9.1",0,0,0,0,0,0,0,0,0,0
"PABPC5-AS1",0,0,0,0,0,0,0,0,0,0
"PABPC5",22,0,0,2,1,0,2,6,0,2
"PCDH11X",0,0,0,0,2,0,0,0,0,0
"NAP1L3",62,14,16,10,12,0,2,4,0,0
"FAM133A",2,0,0,4,0,0,0,0,0,0
"DIAPH2",970,1049,274,295,209,320,374,860,732,734
"RPA4",4,2,0,0,0,0,0,7,6,2
"DIAPH2-AS1",1,2,0,4,0,0,2,1,2,0
"PCDH19",10,32,2,0,4,0,8,2,2,12
"TNMD",0,0,0,32,0,0,2,0,0,0
"TSPAN6",2307,2644,1467,1748,1282,1965,1592,2360,2184,2972
"SRPX2",867,395,78,76,48,8,40,25,25,17
"RP11-524D16__A.3",50,32,7,2,0,0,6,4,0,0
"SYTL4",469,671,180,142,227,303,308,339,504,628
"CSTF2",418,422,72,85,108,86,96,136,99,108
"NOX1",7,12,7,2,10,2,9,9,2,1
"XKRX",6,4,2,0,4,0,0,4,0,0
"ARL13A",3,5,0,0,0,0,8,3,1,0
"TRMT2B",259,188,104,176,164,86,202,217,189,154
"TMEM35",12,2,0,0,2,0,2,0,0,0
"CENPI",132,286,2,0,0,2,8,4,0,12
"DRP2",23,22,0,0,0,0,0,2,0,0
"TAF7L",1,2,10,12,6,11,4,14,9,12
"TIMM8A",466,531,147,214,255,230,198,334,197,389
"BTK",2,25,70,119,56,14,119,55,0,60
"RPL36A",217,344,15,26,17,15,40,20,13,38
"RPL36A-HNRNPH2",0,0,0,0,0,0,0,0,0,0
"GLA",864,1008,149,132,121,111,217,119,118,126
"HNRNPH2",2180,1967,920,838,880,804,1237,1066,979,1226
"ARMCX4",177,146,148,75,119,26,57,155,98,81
"ARMCX1",433,372,82,78,56,4,44,46,8,12
"ARMCX6",614,734,170,224,190,90,184,150,58,114
"ARMCX3",2990,2979,602,478,459,474,1284,880,339,667
"ARMCX3-AS1",0,1,0,0,0,0,0,0,0,2
"ARMCX2",1084,816,90,52,54,7,124,68,2,10
"NXF5",0,0,7,0,0,0,1,1,0,2
"ZMAT1",10,4,281,118,138,244,72,286,120,299
"TCEAL2",0,0,26,10,4,0,0,0,0,0
"TCEAL6",0,0,0,0,0,0,0,0,0,0
"BEX5",10,5,44,20,40,28,90,28,14,38
"NXF2",0,0,0,0,0,0,0,0,0,0
"TCP11X1",0,0,0,0,0,0,0,0,0,0
"NXF2B",2,0,0,0,0,0,0,0,2,0
"TCP11X2",0,0,0,0,0,0,0,0,0,0
"TMSB15A",0,2,4,0,0,0,0,2,0,0
"ARMCX5",271,271,107,121,116,134,168,152,92,183
"RP4-769N13.7",0,3,0,0,2,0,0,0,0,0
"GPRASP1",153,167,111,58,84,20,20,377,78,69
"GPRASP2",344,282,115,152,114,214,145,442,226,297
"BHLHB9",232,210,18,38,48,69,47,80,62,106
"LINC00630",69,46,8,15,9,4,2,23,4,19
"LL0XNC01-237H1.2",37,44,12,0,6,0,5,4,11,14
"RAB40AL",0,0,0,0,6,0,0,0,2,0
"LL0XNC01-237H1.3",0,1,0,0,0,0,0,0,0,0
"BEX1",461,1114,128,42,34,12,56,28,14,36
"NXF3",0,0,60,40,68,2,37,46,0,2
"BEX4",335,526,217,233,179,18,162,78,0,43
"TCEAL8",1666,1577,338,474,428,348,314,329,222,366
"TCEAL5",1,0,4,0,0,0,0,0,0,0
"BEX2",102,198,66,24,20,0,52,8,4,16
"TCEAL7",34,0,18,10,0,0,0,0,0,0
"WBP5",2061,1498,230,192,132,81,185,189,34,94
"NGFRAP1",3768,3673,1008,1263,1342,850,667,1486,735,944
"LL0XNC01-250H12.3",3,1,0,0,0,0,0,0,0,0
"RAB40A",19,33,12,0,5,0,2,1,0,4
"TCEAL4",2532,1530,1342,1438,1533,1084,935,1122,961,1124
"TCEAL3",862,440,216,155,116,26,190,61,18,22
"TCEAL3-AS1",1,0,0,0,0,0,0,0,0,0
"TCEAL1",418,275,257,304,283,215,175,200,190,175
"MORF4L2",9827,8558,2278,1940,2646,3457,4282,2741,1908,2923
"MORF4L2-AS1",18,19,2,2,2,4,1,13,0,5
"GLRA4",0,0,0,0,0,0,0,0,0,0
"TMEM31",0,0,1,1,0,2,0,0,0,0
"PLP1",0,0,13,6,14,0,0,0,0,0
"RAB9B",4,6,0,0,2,0,0,0,0,0
"LL0XNC01-116E7.2",0,3,0,0,0,0,0,0,0,0
"TMSB15B",29,84,6,0,4,0,0,4,0,0
"H2BFWT",0,0,0,0,0,0,0,0,0,0
"H2BFM",0,0,0,0,0,0,0,0,0,0
"SLC25A53",87,51,64,85,71,60,46,53,29,68
"ZCCHC18",16,8,4,6,2,0,2,0,0,0
"FAM199X",1847,2215,374,313,354,402,468,626,274,569
"ESX1",0,0,0,0,0,0,0,0,0,0
"IL1RAPL2",0,2,13,26,38,24,6,41,19,30
"TEX13A",0,0,0,0,0,0,0,0,0,0
"NRK",16,8,0,2,2,1,8,14,6,35
"SERPINA7",1784,478,1678,3016,1931,4138,2674,3918,2653,6301
"MUM1L1",214,327,114,10,36,47,122,2,12,60
"CXorf57",118,237,18,12,30,40,36,78,38,75
"RNF128",3036,4191,1256,1778,1340,1776,1390,3558,3141,3647
"TBC1D8B",1435,1570,103,116,123,307,332,418,180,438
"MORC4",1268,1582,164,268,212,247,370,415,264,403
"RIPPLY1",8,3,6,31,21,22,35,20,20,20
"CLDN2",5647,2698,155,708,819,617,1162,1060,906,799
"RBM41",683,645,56,96,82,129,173,301,166,303
"NUP62CL",23,80,2,20,12,10,6,24,18,38
"PIH1D3",2,0,0,0,0,0,0,0,0,0
"FRMPD3-AS1",0,0,0,0,0,0,0,0,0,0
"FRMPD3",1,0,4,2,8,0,0,6,0,0
"PRPS1",1186,1321,721,740,1026,1260,1200,921,848,839
"TSC22D3",1912,577,4803,1964,5163,5029,3096,4339,1658,6694
"NCBP2L",0,0,0,0,0,0,0,2,0,0
"MID2",162,85,59,74,65,59,74,113,84,100
"RP6-191P20.4",4,0,0,0,0,0,0,0,0,0
"TEX13B",0,0,0,0,0,0,0,0,0,0
"VSIG1",655,2318,2,2,4,0,38,34,28,28
"PSMD10",963,864,320,362,326,390,391,434,254,404
"ATG4A",502,550,224,213,304,286,526,270,176,321
"COL4A6",4401,5089,16,2,10,0,0,0,4,6
"COL4A5",10446,11230,56,8,24,2,6,26,6,40
"RP6-24A23.6",0,0,0,0,0,0,0,0,0,0
"IRS4",2,0,0,0,0,0,0,0,0,0
"RP6-24A23.3",0,0,0,0,0,0,0,0,0,0
"GUCY2F",2,4,0,0,0,0,0,0,0,0
"NXT2",201,204,63,98,120,254,164,210,123,286
"KCNE1L",23,22,3,4,2,0,2,0,0,0
"ACSL4",25362,28268,297,314,324,324,252,254,90,102
"TMEM164",957,979,114,104,106,30,176,140,38,70
"AMMECR1",837,409,82,56,64,62,142,134,91,96
"GNG5P2",0,0,0,1,2,0,2,2,6,5
"RGAG1",2,4,0,0,0,0,4,0,2,0
"CHRDL1",0,0,30,8,22,2,0,4,0,0
"PAK3",371,380,26,4,2,4,9,2,4,37
"CAPN6",80,16,26,8,4,0,2,2,2,2
"DCX",20,2,0,0,0,0,0,0,2,6
"LINC00890",96,8,230,410,48,64,16,206,34,218
"ALG13",804,920,396,411,337,409,428,498,346,418
"ALG13-AS1",4,3,2,0,4,0,0,4,2,2
"TRPC5",2,4,6,8,10,9,6,38,20,24
"TRPC5OS",0,0,0,0,6,2,0,0,0,2
"ZCCHC16",0,0,8,16,4,0,2,14,4,13
"LHFPL1",0,0,2,6,6,0,0,0,2,0
"AMOT",270,548,76,66,126,116,90,190,84,96
"RP5-964N17.1",0,0,0,0,0,0,0,0,0,0
"HTR2C",0,0,0,0,0,0,0,0,0,0
"IL13RA2",8,0,53,168,173,0,27,65,2,4
"LRCH2",188,4,6,6,4,0,4,0,2,0
"RBMXL3",2,0,0,0,0,0,0,0,0,0
"LUZP4",0,0,0,0,0,0,0,0,0,0
"RP1-93I3.1",10,9,2,6,8,0,14,4,14,24
"PLS3",5535,5611,1864,2453,1335,2816,4214,4412,2562,4841
"RP1-241P17.4",48,32,2,8,4,0,18,26,10,2
"RP1-241P17.1",0,0,1,0,0,0,0,0,0,0
"RP11-761E20.1",13,6,2,0,2,2,4,3,10,4
"AGTR2",0,0,0,0,0,0,0,0,2,0
"SLC6A14",6,0,0,0,0,0,0,2,0,0
"CT83",0,0,0,0,0,0,0,0,0,0
"RP11-232D9.3",0,0,0,0,0,0,0,0,0,0
"KLHL13",56,182,26,30,50,50,54,156,86,178
"WDR44",476,687,186,178,187,282,180,429,233,323
"DOCK11",71,72,109,85,64,20,145,84,4,72
"IL13RA1",2373,1959,2672,2471,2199,2209,5629,4665,3300,4133
"ZCCHC12",2,0,0,0,0,0,0,2,0,0
"RP4-562J12.2",2,4,0,3,6,2,2,5,3,6
"LONRF3",140,259,156,71,110,236,117,729,327,389
"KIAA1210",0,0,0,0,0,0,0,0,0,0
"PGRMC1",4003,4181,8589,11662,9690,11915,7786,14174,14671,15121
"RP5-1139I1.1",2,0,0,0,0,0,0,0,0,0
"RP5-1139I1.2",1,0,0,6,2,0,0,0,2,0
"SLC25A43",383,256,166,168,192,132,76,156,116,204
"SLC25A5",7092,10139,4619,6848,6183,5026,5218,5844,5591,4533
"CXorf56",256,348,149,240,274,202,181,298,228,319
"UBE2A",906,650,501,478,472,391,430,485,328,316
"NKRF",392,523,122,90,120,146,174,222,133,145
"6-Sep",1420,956,587,511,473,500,299,720,319,378
"SOWAHD",1,4,14,64,90,10,24,2,0,0
"RPL39",17368,21005,7282,8464,8200,5033,5968,7093,5754,6403
"UPF3B",473,685,86,121,122,150,345,230,181,235
"RNF113A",241,300,128,243,182,143,216,168,188,138
"NDUFA1",1223,1403,1925,2717,2015,1242,1932,1542,1893,1516
"AKAP14",0,5,0,1,0,0,1,2,1,1
"RP3-327A19.5",33,19,16,9,7,2,17,15,15,10
"NKAP",603,669,210,224,277,212,295,294,253,306
"GS1-421I3.2",0,0,0,0,0,0,0,0,0,0
"RP4-755D9.1",7,2,6,4,6,2,0,2,2,6
"RHOXF2B",0,0,0,0,0,0,0,0,0,0
"RHOXF1",2,2,0,2,4,0,6,0,4,0
"GS1-421I3.4",4,5,0,0,0,0,0,0,0,0
"RHOXF2",0,0,0,0,2,0,0,0,2,0
"ZBTB33",2208,1996,236,228,170,248,288,486,277,342
"TMEM255A",19,18,2,5,4,4,2,0,0,0
"ATP1B4",0,0,0,0,0,0,0,0,0,0
"LAMP2",8862,8479,2632,2991,2440,3132,3345,4912,3979,4405
"CUL4B",2053,2036,439,293,393,490,646,891,679,917
"MCTS1",932,936,281,369,455,402,462,357,320,332
"C1GALT1C1",802,804,214,329,239,418,406,409,356,848
"CT47B1",0,0,0,0,0,0,0,0,0,0
"CT47A12",0,0,0,0,0,0,0,0,0,0
"CT47A11",0,0,0,0,0,0,0,0,0,0
"CT47A10",0,0,0,0,0,0,0,0,0,0
"CT47A9",0,0,0,0,0,0,0,0,0,0
"CT47A8",0,0,0,0,0,0,0,0,0,0
"CT47A7",0,0,0,0,0,0,0,0,0,0
"CT47A5",0,0,0,0,0,0,0,0,0,0
"CT47A6",0,0,0,0,0,0,0,0,0,0
"CT47A4",0,0,0,0,0,0,0,0,0,0
"CT47A3",0,0,0,0,0,0,0,0,0,0
"CT47A1",0,0,0,0,0,0,0,0,0,0
"CT47A2",0,0,0,0,0,0,0,0,0,0
"GLUD2",866,641,80,114,84,242,196,357,240,211
"RP13-192B19.2",2,0,0,0,0,0,0,0,0,0
"GRIA3",366,324,72,82,58,81,66,19,82,69
"THOC2",3959,4984,296,285,366,580,801,934,654,844
"XIAP",1994,2300,635,564,614,431,1504,1421,1001,1085
"XIAP-AS1",2,2,0,0,0,0,3,0,1,0
"RP1-315G1.3",1,2,0,0,0,1,0,1,4,2
"STAG2",1821,2141,598,616,591,1054,936,1574,872,1641
"SH2D1A",2,0,30,28,62,4,12,19,0,8
"TENM1",31,24,432,231,354,380,191,760,910,403
"RP11-13E5.2",0,0,0,0,0,0,0,0,0,0
"DCAF12L2",0,0,0,2,0,0,0,0,0,0
"DCAF12L1",2,314,0,0,2,0,0,0,0,0
"CXorf64",0,0,16,4,2,0,0,0,0,0
"CTD-2076M15.1",0,0,0,0,0,0,0,0,0,0
"ACTRT1",0,0,0,0,0,0,0,0,0,0
"RP1-30E17.2",0,6,0,0,0,0,0,0,0,0
"SMARCA1",3560,4248,802,1070,795,1716,1326,2897,1658,2231
"OCRL",831,1096,357,291,297,267,313,537,437,360
"APLN",20,8,4,10,12,20,2,18,6,18
"XPNPEP2",138,148,2,1368,482,350,22,1972,436,918
"SASH3",0,2,342,356,390,26,224,143,2,40
"ZDHHC9",2947,3300,624,679,953,847,1378,1324,808,1016
"RP4-537K23.4",0,1,0,0,0,0,0,0,0,0
"UTP14A",1036,746,166,127,123,138,214,264,138,264
"BCORL1",519,832,80,82,222,144,278,358,172,128
"ELF4",447,752,128,138,122,8,133,78,4,22
"AIFM1",2583,3347,1288,2355,1797,1883,4493,2481,2343,2184
"RAB33A",2,2,8,16,20,0,0,9,0,2
"ZNF280C",178,192,32,18,16,16,24,44,33,32
"SLC25A14",190,217,56,78,60,54,94,76,64,69
"GPR119",2,6,0,0,0,0,0,0,0,0
"RBMX2",631,719,195,178,268,156,198,282,205,190
"RP1-274L7.1",0,1,0,0,0,0,0,1,0,0
"ENOX2",307,249,118,118,97,86,305,158,100,90
"RP1-23K20.2",0,0,0,0,0,0,0,0,0,0
"ARHGAP36",0,0,0,0,0,0,0,0,0,0
"IGSF1",473,2646,22,16,20,12,20,62,42,43
"OR13H1",3,0,0,0,0,0,0,0,0,0
"RP11-453F18__B.1",59,157,2,8,0,0,0,0,0,0
"MST4",750,1451,64,68,66,68,138,88,76,122
"FRMD7",2,0,4,4,0,3,4,4,2,6
"RAP2C",1583,1593,968,972,926,977,794,1194,1041,1054
"RAP2C-AS1",11,21,6,0,1,12,4,24,2,15
"MBNL3",16597,13171,1424,1379,1023,1378,3174,5525,3321,6151
"HS6ST2",971,1726,0,0,2,0,0,2,0,6
"HS6ST2-AS1",0,0,0,0,0,0,0,0,0,0
"USP26",0,0,0,0,0,0,0,0,0,0
"TFDP3",0,0,0,0,0,0,0,0,0,0
"GPC4",56,143,95,32,24,0,8,12,0,6
"GPC3",5662,16318,50,54,50,28,28,8,14,42
"CCDC160",0,0,0,0,4,0,0,0,0,0
"PHF6",1145,1312,98,112,90,148,192,290,103,308
"HPRT1",368,567,440,407,484,411,355,1347,825,1069
"MIR503HG",82,55,198,100,110,0,14,68,0,6
"LINC00629",4,2,0,0,0,0,0,0,0,0
"PLAC1",6,2,2,0,0,0,0,0,0,0
"RP11-308B5.2",1,0,0,0,0,0,0,0,0,0
"FAM122B",597,666,185,204,217,127,178,279,198,162
"FAM122C",40,28,73,62,61,13,16,65,30,33
"MOSPD1",513,348,52,58,54,76,150,126,52,114
"RP3-473B4.3",0,2,0,0,0,0,0,0,0,0
"SMIM10",52,76,36,26,28,0,12,10,4,2
"FAM127C",312,264,126,67,64,0,53,20,4,4
"FAM127A",2439,1789,1364,978,1061,270,429,391,238,158
"FAM127B",793,731,346,280,294,120,171,207,126,96
"RP11-85L21.4",0,2,0,0,0,0,0,0,0,0
"LINC00087",180,227,32,30,54,40,38,54,24,32
"LINC00633",0,0,0,0,0,0,0,0,0,0
"RP11-85L21.6",0,0,0,0,0,0,0,0,0,0
"CT55",0,0,0,0,0,0,0,0,0,0
"ZNF75D",312,380,150,121,211,132,307,264,155,264
"RP13-210D15.4",0,0,0,0,0,0,0,0,0,1
"ZNF449",290,327,54,64,80,58,46,89,42,46
"RP11-265D19.6",0,0,0,0,0,0,0,0,0,0
"LINC00086",54,46,20,8,44,10,10,34,6,16
"DDX26B-AS1",0,0,0,0,0,0,0,0,0,0
"DDX26B",212,283,46,26,26,10,22,70,0,10
"CT45A1",2,0,0,0,0,0,0,0,0,0
"CT45A2",0,0,0,0,0,0,0,0,0,0
"CT45A3",2,0,0,0,0,0,0,0,0,0
"CT45A4",0,0,0,0,0,0,0,0,0,0
"CT45A5",0,0,0,0,0,0,0,0,0,0
"CT45A6",0,0,0,0,0,0,0,0,0,0
"SAGE1",4,0,0,0,0,0,0,0,0,0
"MMGT1",514,406,188,113,164,193,234,235,138,180
"SLC9A6",569,588,102,106,132,150,196,212,138,180
"FHL1",583,18,997,635,436,64,107,378,66,102
"MAP7D3",219,153,106,90,73,30,96,204,83,80
"GPR112",2,0,2,0,0,0,0,0,0,0
"BRS3",4,0,0,0,0,0,0,0,0,0
"HTATSF1",942,942,453,529,598,487,672,917,658,600
"VGLL1",0,0,4,0,2,0,0,0,0,0
"CD40LG",0,0,20,10,6,0,4,4,0,2
"ARHGEF6",19,8,208,246,217,35,164,262,16,88
"RP11-1114A5.4",57,105,9,8,19,4,13,28,22,2
"RBMX",3569,3853,1152,1105,850,808,1088,1774,1129,1551
"GPR101",0,0,0,0,0,0,0,0,0,0
"RP1-137H15.2",0,0,0,0,0,0,0,0,0,0
"ZIC3",0,0,0,0,0,0,0,0,0,0
"RP6-27P15.2",0,0,0,0,0,0,0,0,0,0
"FGF13",0,12,20,12,18,2,27,12,0,4
"FGF13-AS1",0,0,0,0,0,0,1,0,0,2
"F9",4,22,8304,7061,5508,14280,14243,11702,15359,24919
"MCF2",2,4,0,4,0,0,0,4,6,5
"ATP11C",802,691,581,762,616,1065,967,1620,1275,2765
"CXorf66",2,0,4,0,0,4,2,4,2,16
"RP11-364B14.1",0,0,0,0,0,0,0,0,0,0
"AC004070.1",0,0,0,0,0,0,0,0,0,0
"SOX3",0,0,0,0,0,0,0,0,0,2
"XXyac-YR29IB3.1",0,0,0,0,0,0,0,0,0,0
"LINC00632",14,37,0,0,0,0,0,0,0,0
"CDR1",21,7,0,0,0,0,2,0,2,0
"RP11-298A8.2",0,0,0,0,0,0,0,0,0,1
"SPANXB2",0,0,0,0,0,0,0,0,0,0
"SPANXB1",0,0,0,0,0,0,0,0,0,2
"LDOC1",1004,763,142,86,138,4,24,18,6,10
"SPANXC",0,0,0,0,0,0,0,0,0,0
"SPANXA1",0,0,0,0,0,0,0,0,0,0
"SPANXA2",0,0,0,0,0,0,0,0,0,0
"RP1-171K16.5",0,0,0,0,0,0,0,0,0,0
"SPANXD",0,0,0,0,0,0,0,0,0,0
"MAGEC3",2,0,0,0,0,0,0,0,0,0
"MAGEC1",4,0,0,0,0,0,0,0,0,0
"MAGEC2",2,0,0,0,0,0,0,0,0,0
"SPANXN4",0,0,0,0,0,0,0,0,0,0
"GS1-256O22.5",0,0,0,0,0,0,0,0,0,0
"SPANXN3",0,0,0,0,0,0,0,0,0,0
"SLITRK4",33,2,4,0,2,0,4,0,0,0
"SPANXN2",0,0,0,0,0,0,0,0,0,0
"RP3-526F5.2",0,0,0,0,0,0,0,0,0,0
"UBE2NL",0,0,0,0,0,0,0,0,0,0
"RP11-143G3.1",0,0,0,0,0,0,0,0,0,0
"SPANXN1",0,0,0,0,0,0,0,0,0,0
"SLITRK2",0,0,6,0,6,0,0,0,0,0
"TMEM257",0,0,0,0,0,0,0,0,0,0
"CXorf51B",0,0,0,0,0,0,0,0,0,0
"CXorf51A",0,0,0,0,0,0,0,0,0,0
"L29074.3",0,1,0,0,0,0,0,0,0,0
"FMR1",1439,1617,471,616,710,814,982,1478,1091,1134
"FMR1NB",0,0,8,0,0,0,0,2,2,2
"AC002368.4",0,0,0,0,0,0,0,0,0,0
"AFF2",1,0,0,0,0,2,8,3,2,4
"IDS",799,572,643,553,696,317,612,1276,819,759
"AF011889.2",0,19,16,2,13,8,6,17,11,4
"LINC00893",32,62,19,17,13,10,10,49,56,14
"CXorf40A",209,155,195,206,291,206,216,208,181,151
"RP5-937E21.8",1,4,2,0,0,3,1,0,0,0
"MAGEA9B",0,0,0,0,0,0,2,0,0,0
"HSFX2",10,0,10,12,26,7,18,23,4,8
"TMEM185A",156,143,78,111,78,66,125,122,64,69
"MAGEA11",0,0,0,0,0,0,0,0,0,0
"HSFX1",4,0,23,12,25,12,8,8,8,8
"MAGEA9",2,0,0,0,0,0,0,0,0,0
"MAGEA8-AS1",0,0,0,0,0,0,0,0,0,0
"MAGEA8",0,0,0,0,0,0,0,0,0,2
"CXorf40B",781,721,378,381,549,366,412,365,347,268
"XX-FW81066F1.2",0,0,0,0,0,0,0,0,0,1
"LINC00894",109,188,83,37,33,24,37,74,92,47
"MAMLD1",187,250,80,94,158,62,64,142,73,104
"MTM1",441,454,286,256,315,525,461,578,383,544
"MTMR1",727,892,262,239,317,292,390,451,324,174
"CD99L2",1043,721,1224,936,1260,896,2161,1296,1301,834
"AF003626.1",0,0,0,0,0,0,0,0,0,0
"HMGB3",446,547,974,461,564,664,1510,723,795,456
"GPR50-AS1",0,0,0,0,0,0,2,0,0,0
"GPR50",0,0,0,0,0,0,2,4,8,0
"AF003625.3",0,0,0,0,0,0,2,2,0,0
"VMA21",916,1008,230,210,214,168,330,397,258,384
"WI2-80269A6.1",0,0,0,0,0,0,0,0,0,0
"XX-FW80269A6.1",0,0,0,0,0,0,0,0,0,0
"PASD1",2,0,0,0,0,0,0,0,0,0
"PRRG3",2,0,4,0,4,0,0,0,0,0
"FATE1",0,0,0,0,0,2,0,0,0,0
"CNGA2",0,0,0,0,0,0,0,0,0,0
"RP11-366F6.2",0,0,0,0,0,0,0,0,0,0
"MAGEA4",0,0,0,0,0,0,0,0,0,0
"GABRE",167,19,126,68,16,2,36,66,4,6
"MAGEA10",0,0,0,0,0,0,0,0,0,2
"RP11-329E24.6",0,0,0,0,0,0,0,0,0,0
"GABRA3",1,0,0,0,0,0,0,0,0,0
"GABRQ",0,0,0,0,0,0,2,2,0,0
"MAGEA6",0,0,0,0,0,0,0,0,0,0
"CSAG3",0,0,0,0,0,0,0,0,0,0
"MAGEA2B",0,0,0,0,0,0,0,0,0,0
"RP1-14D6.7",0,0,0,0,0,0,0,0,0,0
"MAGEA12",0,0,0,0,0,0,0,0,0,0
"CSAG1",0,0,0,0,0,0,0,0,0,0
"MAGEA2",0,0,0,0,0,0,0,0,0,0
"CSAG2",0,0,2,0,0,2,0,2,4,2
"MAGEA3",0,0,0,0,0,0,0,0,0,0
"CETN2",727,512,354,542,278,320,383,224,176,264
"NSDHL",946,1012,733,456,592,577,808,703,482,491
"ZNF185",46,26,90,84,42,14,104,44,8,14
"PNMA5",0,0,0,4,6,0,0,0,0,0
"PNMA3",4,284,14,14,14,4,4,14,0,20
"PNMA6C",6,33,192,111,378,105,21,140,198,81
"PNMA6A",2,8,121,257,229,121,25,368,44,233
"PNMA6D",0,26,85,79,194,102,27,125,98,69
"PNMA6B",0,0,26,64,69,48,15,172,18,83
"U82670.4",0,0,0,0,0,0,0,0,0,0
"MAGEA1",0,0,0,0,0,0,0,0,0,0
"ZNF275",548,736,566,421,576,492,522,1257,645,682
"ZFP92",9,0,2,2,3,4,10,10,0,0
"U82695.10",22,0,16,30,16,4,24,30,20,4
"TREX2",0,2,15,12,33,2,2,2,6,6
"HAUS7",13,8,29,13,21,10,15,13,11,2
"U82695.9",0,0,0,0,0,0,0,0,0,0
"BGN",196,434,9510,4909,6782,2,110,578,28,16
"ATP2B3",0,0,4,0,0,0,0,0,0,0
"FAM58A",214,243,298,324,398,226,266,184,161,175
"RP11-66N11.8",0,0,12,30,28,6,2,8,10,8
"RP11-66N11.7",0,0,0,0,2,0,0,4,0,4
"DUSP9",2803,10527,47,53,133,52,96,32,58,32
"PNCK",39,568,2,0,1,0,3,2,3,0
"SLC6A8",1711,3029,126,19,51,0,78,50,58,25
"BCAP31",4621,4414,2969,2566,2756,1844,3342,2405,2315,2143
"ABCD1",358,252,863,729,833,280,708,398,358,202
"U52111.14",16,6,6,5,2,0,4,0,0,0
"PLXNB3",207,130,78,20,40,12,8,30,8,4
"SRPK3",20,10,32,25,38,10,10,15,9,5
"IDH3G",978,1012,847,909,1083,542,937,548,453,324
"SSR4",4307,5323,4163,4504,4234,3840,5710,1880,2358,2280
"PDZD4",39,10,358,161,301,4,40,47,0,6
"L1CAM",62,594,48,16,84,0,7,0,0,2
"LCA10",0,0,0,0,0,0,0,0,0,0
"AVPR2",0,0,0,14,4,0,1,2,0,0
"ARHGAP4",39,71,1214,1108,1362,93,636,362,29,67
"NAA10",596,569,673,581,724,255,342,288,244,95
"RENBP",25,52,317,469,389,52,300,141,2,14
"HCFC1",1885,2682,1268,640,1054,370,1497,1486,912,438
"HCFC1-AS1",2,1,0,0,0,0,0,0,1,0
"TMEM187",212,259,247,264,310,192,130,185,264,260
"IRAK1",2408,2282,1891,1538,2889,1374,2726,1284,1019,807
"MECP2",1185,1464,788,644,636,320,505,711,380,307
"OPN1LW",3,0,0,0,0,0,0,0,0,0
"TEX28P2",0,0,0,0,0,0,0,0,0,0
"OPN1MW",0,0,0,0,0,0,0,0,0,0
